grade_level,content_area_code,standard_num,standard_code,standard_title,standard_text
1,1,1,1-1.1,Dinləyib-anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
1,1,2,1-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
1,1,3,1-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
1,1,4,1-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
1,2,1,1-2.1,Səlis və ifadəli oxu,"Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur."
1,2,2,1-2.2,Faktoloji qavrama,Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.
1,2,3,1-2.3,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
1,2,4,1-2.4,Tənqidi təfəkkür və yaradıcı yanaşma,Mətndəki fakt və hadisələrlə bağlı şəxsi münasibətini ifadə edir.
1,3,1,1-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
1,3,2,1-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.
1,4,1,1-4.1,Orfoqrafiya,Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.
1,4,2,1-4.2,Qrammatika,"Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir."
1,4,3,1-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
1,4,4,1-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir.
2,1,1,2-1.1,Dinləyib-anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
2,1,2,2-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
2,1,3,2-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
2,1,4,2-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
2,2,1,2-2.1,Səlis və ifadəli oxu,"Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur."
2,2,2,2-2.2,Faktoloji qavrama,Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.
2,2,3,2-2.3,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.
2,2,4,2-2.4,Tənqidi təfəkkür və yaradıcı yanaşma,Mətndəki fakt və hadisələrə şəxsi münasibətini ifadə edir.
2,3,1,2-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.
2,3,2,2-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.
2,4,1,2-4.1,Orfoqrafiya,Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.
2,4,2,2-4.2,Qrammatika,"Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir."
2,4,3,2-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.
2,4,4,2-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir.
3,1,1,3-1.1,Dinləyib- anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir."
3,1,2,3-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.
3,1,3,3-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.
3,1,4,3-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.
3,2,1,3-2.1,Səlis və ifadəli oxu,"Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur."
