grade_level,content_area_code,standard_num,standard_code,standard_title,standard_text,area_az
2,1,1,2-1.1,Dinləyib-anlama,"Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.",Dinləmə və Danışma
2,1,2,2-1.2,Dialoji nitq,Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.,Dinləmə və Danışma
2,1,3,2-1.3,Rabitəli nitq,Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,Dinləmə və Danışma
2,1,4,2-1.4,Ədəbi dilin normaları və ekspressiv nitq,Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.,Dinləmə və Danışma
2,2,1,2-2.1,Səlis və ifadəli oxu,"Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur.",Oxu
2,2,2,2-2.2,Faktoloji qavrama,Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.,Oxu
2,2,3,2-2.3,Şərhetmə və əlaqələndirmə,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,Oxu
2,2,4,2-2.4,Tənqidi təfəkkür və yaradıcı yanaşma,Mətndəki fakt və hadisələrə şəxsi münasibətini ifadə edir.,Oxu
2,3,1,2-3.1,Yazı normaları,Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.,Yazı
2,3,2,2-3.2,Yazı məqsədləri və tipləri,Məqsədə uyğun olaraq müxtəlif tipli və formalı mətnlər yazır.,Yazı
2,4,1,2-4.1,Orfoqrafiya,Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,Dil vahidləri
2,4,2,2-4.2,Qrammatika,"Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir.",Dil vahidləri
2,4,3,2-4.3,Punktuasiya,Yazıda sadə punktuasiya qaydalarına əməl edir.,Dil vahidləri
2,4,4,2-4.4,Leksika,Sözlərin mənalarını anladığını nümayiş etdirir.,Dil vahidləri
